gameserver,type,key,value
arkserver,Function,fn_parms,
arkserver,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
arkserver,Parameter,ansi,"on"
arkserver,Parameter,appid,"376030"
arkserver,Parameter,backupdir,"${lgsmdir}/backup"
arkserver,Parameter,branch,""
arkserver,Parameter,channeltag,""
arkserver,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
arkserver,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
arkserver,Parameter,consolelogdir,"${logdir}/console"
arkserver,Parameter,consolelogging,"on"
arkserver,Parameter,curlcustomstring,""
arkserver,Parameter,defaultmap,"TheIsland"
arkserver,Parameter,discordalert,"off"
arkserver,Parameter,discordwebhook,"webhook"
arkserver,Parameter,displayip,""
arkserver,Parameter,emailalert,"off"
arkserver,Parameter,email,"email@example.com"
arkserver,Parameter,emailfrom,""
arkserver,Parameter,engine,"unreal4"
arkserver,Parameter,executabledir,"${systemdir}/Binaries/Linux"
arkserver,Parameter,executable,"./ShooterGameServer"
arkserver,Parameter,gamelogdir,"${systemdir}/Saved/Logs"
arkserver,Parameter,gamename,"ARK: Survival Evolved"
arkserver,Parameter,glibc,"2.15"
arkserver,Parameter,iftttalert,"off"
arkserver,Parameter,iftttevent,"linuxgsm_alert"
arkserver,Parameter,ifttttoken,"accesstoken"
arkserver,Parameter,ip,"0.0.0.0"
arkserver,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
arkserver,Parameter,lgsmlogdir,"${logdir}/script"
arkserver,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
arkserver,Parameter,logdays,"7"
arkserver,Parameter,logdir,"${rootdir}/log"
arkserver,Parameter,mailgunalert,"off"
arkserver,Parameter,mailgundomain,"example.com"
arkserver,Parameter,mailgunemail,"email@myemail.com"
arkserver,Parameter,mailgunemailfrom,"alert@example.com"
arkserver,Parameter,mailguntoken,"accesstoken"
arkserver,Parameter,maxbackupdays,"30"
arkserver,Parameter,maxbackups,"4"
arkserver,Parameter,maxplayers,"70"
arkserver,Parameter,parms,"\""${defaultmap}?AltSaveDirectoryName=${defaultmap}?listen?MultiHome=${ip}?MaxPlayers=${maxplayers}?QueryPort=${queryport}?RCONPort=${rconport}?Port=${port} -automanagedmods\"""
arkserver,Parameter,port,"7777"
arkserver,Parameter,postalert,"off"
arkserver,Parameter,postdays,"7"
arkserver,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
arkserver,Parameter,posttarget,"https://hastebin.com"
arkserver,Parameter,pushbulletalert,"off"
arkserver,Parameter,pushbullettoken,"accesstoken"
arkserver,Parameter,pushoveralert,"off"
arkserver,Parameter,pushovertoken,"accesstoken"
arkserver,Parameter,querydelay,"5"
arkserver,Parameter,queryport,"27015"
arkserver,Parameter,rconport,"27020"
arkserver,Parameter,servercfgdefault,"GameUserSettings.ini"
arkserver,Parameter,servercfgdir,"${systemdir}/Saved/Config/LinuxServer"
arkserver,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
arkserver,Parameter,servercfg,"GameUserSettings.ini"
arkserver,Parameter,sleeptime,"0.5"
arkserver,Parameter,steammaster,"true"
arkserver,Parameter,stoponbackup,"on"
arkserver,Parameter,systemdir,"${serverfiles}/ShooterGame"
arkserver,Parameter,telegramalert,"off"
arkserver,Parameter,telegramchatid,""
arkserver,Parameter,telegramtoken,"accesstoken"
arkserver,Parameter,updateonstart,"off"
arma3server,Function,fn_parms,
arma3server,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
arma3server,Parameter,ansi,"on"
arma3server,Parameter,appid,"233780"
arma3server,Parameter,backupdir,"${lgsmdir}/backup"
arma3server,Parameter,bepath,""
arma3server,Parameter,branch,""
arma3server,Parameter,channeltag,""
arma3server,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
arma3server,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
arma3server,Parameter,consolelogdir,"${logdir}/console"
arma3server,Parameter,consolelogging,"on"
arma3server,Parameter,curlcustomstring,""
arma3server,Parameter,discordalert,"off"
arma3server,Parameter,discordwebhook,"webhook"
arma3server,Parameter,displayip,""
arma3server,Parameter,emailalert,"off"
arma3server,Parameter,email,"email@example.com"
arma3server,Parameter,emailfrom,""
arma3server,Parameter,engine,"realvirtuality"
arma3server,Parameter,executable,"./arma3server"
arma3server,Parameter,executabledir,"${serverfiles}"
arma3server,Parameter,gamename,"ARMA 3"
arma3server,Parameter,glibc,"2.13"
arma3server,Parameter,iftttalert,"off"
arma3server,Parameter,iftttevent,"linuxgsm_alert"
arma3server,Parameter,ifttttoken,"accesstoken"
arma3server,Parameter,ip,"0.0.0.0"
arma3server,Parameter,lgsmlogdate,"${lgsmlogdir}/${servicename}-script-$(date '+%Y-%m-%d-%H:%M:%S').log"
arma3server,Parameter,lgsmlogdir,"${logdir}/script"
arma3server,Parameter,lgsmlog,"${lgsmlogdir}/${servicename}-script.log"
arma3server,Parameter,logdays,"7"
arma3server,Parameter,logdir,"${rootdir}/log"
arma3server,Parameter,mailgunalert,"off"
arma3server,Parameter,mailgundomain,"example.com"
arma3server,Parameter,mailgunemail,"email@myemail.com"
arma3server,Parameter,mailgunemailfrom,"alert@example.com"
arma3server,Parameter,mailguntoken,"accesstoken"
arma3server,Parameter,maxbackupdays,"30"
arma3server,Parameter,maxbackups,"4"
arma3server,Parameter,mods,""
arma3server,Parameter,networkcfgdefault,"network.cfg"
arma3server,Parameter,networkcfgfullpath,"${servercfgdir}/${networkcfg}"
arma3server,Parameter,networkcfg,"${servicename}.network.cfg"
arma3server,Parameter,parms,"-ip=${ip} -port=${port} -cfg=${networkcfgfullpath} -config=${servercfgfullpath} -mod=${mods} -servermod=${servermods} -bepath=${bepath} -autoinit -loadmissiontomemory"
arma3server,Parameter,port,"2302"
arma3server,Parameter,postalert,"off"
arma3server,Parameter,postdays,"7"
arma3server,Parameter,postdetailslog,"${lgsmlogdir}/${servicename}-postdetails.log"
arma3server,Parameter,posttarget,"https://hastebin.com"
arma3server,Parameter,pushbulletalert,"off"
arma3server,Parameter,pushbullettoken,"accesstoken"
arma3server,Parameter,pushoveralert,"off"
arma3server,Parameter,pushovertoken,"accesstoken"
arma3server,Parameter,querydelay,"5"
arma3server,Parameter,servercfgdefault,"server.cfg"
arma3server,Parameter,servercfgdir,"${systemdir}/cfg"
arma3server,Parameter,servercfgfullpath,"${servercfgdir}/${servercfg}"
arma3server,Parameter,servercfg,"${servicename}.server.cfg"
arma3server,Parameter,servermods,""
arma3server,Parameter,sleeptime,"0.5"
arma3server,Parameter,steammaster,"false"
arma3server,Parameter,steampass,"'password'"
arma3server,Parameter,steamuser,"username"
arma3server,Parameter,stoponbackup,"on"
arma3server,Parameter,systemdir,"${serverfiles}"
arma3server,Parameter,telegramalert,"off"
arma3server,Parameter,telegramchatid,""
arma3server,Parameter,telegramtoken,"accesstoken"
arma3server,Parameter,updateonstart,"off"
bb2server,Function,fn_parms,
bb2server,Parameter,alertlog,"${lgsmlogdir}/${servicename}-alert.log"
bb2server,Parameter,ansi,"on"
bb2server,Parameter,appid,"475370"
bb2server,Parameter,backupdir,"${rootdir}/backups"
bb2server,Parameter,branch,""
bb2server,Parameter,channeltag,""
bb2server,Parameter,clientport,"27005"
bb2server,Parameter,consolelog,"${consolelogdir}/${servicename}-console.log"
bb2server,Parameter,consolelogdate,"${consolelogdir}/${servicename}-console-$(date '+%Y-%m-%d-%H:%M:%S').log"
bb2server,Parameter,consolelogdir,"${logdir}/console"
bb2server,Parameter,consolelogging,"on"
bb2server,Parameter,curlcustomstring,""
bb2server,Parameter,defaultmap,"bba_barracks"
bb2server,Parameter,discordalert,"off"
bb2server,Parameter,discordwebhook,"webhook"
bb2server,Parameter,displayip,""
bb2server,Parameter,emailalert,"off"
bb2server,Parameter,email,"email@example.com"
